insert_i,recall
1616,0.790000
1617,0.840000
1618,0.840000
1619,0.640000
1620,0.800000
1621,0.770000
1622,0.800000
1623,0.780000
1624,0.720000
1625,0.800000
1626,0.870000
1627,0.770000
1628,0.720000
1629,0.720000
1630,0.750000
1631,0.690000
1632,0.750000
1633,0.770000
1634,0.890000
1635,0.770000
1636,0.850000
1637,0.900000
1638,0.790000
1639,0.790000
1640,0.820000
1641,0.780000
1642,0.880000
1643,0.790000
1644,0.780000
1645,0.800000
1646,0.870000
1647,0.770000
1648,0.900000
1649,0.770000
1650,0.780000
1651,0.750000
1652,0.750000
1653,0.690000
1654,0.800000
1655,0.770000
1656,0.730000
1657,0.870000
1658,0.810000
1659,0.810000
1660,0.730000
1661,0.850000
1662,0.820000
1663,0.890000
1664,0.690000
1665,0.870000
1666,0.690000
1667,0.730000
1668,0.750000
1669,0.750000
1670,0.790000
1671,0.870000
1672,0.780000
1673,0.860000
1674,0.860000
1675,0.850000
1676,0.790000
1677,0.810000
1678,0.830000
1679,0.890000
1680,0.750000
1681,0.650000
1682,0.780000
1683,0.590000
1684,0.830000
1685,0.900000
1686,0.600000
1687,0.820000
1688,0.780000
1689,0.820000
1690,0.780000
1691,0.820000
1692,0.780000
1693,0.850000
1694,0.770000
1695,0.790000
1696,0.800000
1697,0.830000
1698,0.830000
1699,0.810000
1700,0.820000
1701,0.810000
1702,0.870000
1703,0.620000
1704,0.850000
1705,0.740000
1706,0.820000
1707,0.800000
1708,0.780000
1709,0.780000
1710,0.700000
1711,0.690000
1712,0.670000
1713,0.820000
1714,0.810000
1715,0.770000
1716,0.860000
1717,0.890000
1718,0.870000
1719,0.780000
1720,0.820000
1721,0.810000
1722,0.730000
1723,0.740000
1724,0.870000
1725,0.770000
1726,0.690000
1727,0.800000
1728,0.780000
1729,0.860000
1730,0.730000
1731,0.810000
1732,0.700000
1733,0.840000
1734,0.770000
1735,0.700000
1736,0.800000
1737,0.820000
1738,0.840000
1739,0.880000
1740,0.810000
1741,0.800000
1742,0.840000
1743,0.750000
1744,0.770000
1745,0.840000
1746,0.710000
1747,0.790000
1748,0.850000
1749,0.810000
1750,0.730000
1751,0.770000
1752,0.800000
1753,0.720000
1754,0.820000
1755,0.820000
1756,0.740000
1757,0.700000
1758,0.740000
1759,0.820000
1760,0.840000
1761,0.810000
1762,0.820000
1763,0.740000
1764,0.690000
1765,0.750000
1766,0.880000
1767,0.730000
1768,0.750000
1769,0.830000
1770,0.800000
1771,0.720000
1772,0.740000
1773,0.860000
1774,0.770000
1775,0.770000
1776,0.870000
1777,0.830000
1778,0.880000
1779,0.740000
1780,0.840000
1781,0.790000
1782,0.850000
1783,0.840000
1784,0.730000
1785,0.770000
1786,0.770000
1787,0.870000
1788,0.800000
1789,0.870000
1790,0.840000
1791,0.780000
1792,0.770000
1793,0.740000
1794,0.890000
1795,0.880000
1796,0.710000
1797,0.860000
1798,0.750000
1799,0.860000
1800,0.760000
1801,0.840000
1802,0.770000
1803,0.900000
1804,0.830000
1805,0.710000
1806,0.740000
1807,0.800000
1808,0.790000
1809,0.710000
1810,0.790000
1811,0.860000
1812,0.870000
1813,0.850000
1814,0.810000
1815,0.660000
1816,0.810000
1817,0.710000
1818,0.680000
1819,0.870000
1820,0.840000
1821,0.690000
1822,0.840000
1823,0.760000
1824,0.840000
1825,0.580000
1826,0.830000
1827,0.690000
1828,0.670000
1829,0.780000
1830,0.880000
1831,0.610000
1832,0.830000
1833,0.830000
1834,0.870000
1835,0.840000
1836,0.760000
1837,0.780000
1838,0.760000
1839,0.860000
1840,0.780000
1841,0.760000
1842,0.750000
1843,0.770000
1844,0.900000
1845,0.710000
1846,0.810000
1847,0.820000
1848,0.830000
1849,0.800000
1850,0.560000
1851,0.740000
1852,0.760000
1853,0.850000
1854,0.740000
1855,0.710000
1856,0.840000
1857,0.740000
1858,0.760000
1859,0.740000
1860,0.770000
1861,0.870000
1862,0.790000
1863,0.770000
1864,0.740000
1865,0.830000
1866,0.670000
1867,0.640000
